Opportunity_ID,Last_Modified_By,Total Price(Euros)
OPP-7389-33,Heena Chopra,20.24
OPP-7250-43,Belal Farooqui,24.22
OPP-9693-96,Belal Farooqui,42.43
OPP-9222-42,Ruchita Patil,41.29
OPP-1156-40,Heena Chopra,36.05
OPP-0184-71,Ruchita Patil,23.93
OPP-9806-79,Ruchita Patil,31.86
OPP-6393-53,Belal Farooqui,37.56
OPP-2012-70,Jaswinder Singh,32.24
OPP-0593-27,Ruchita Patil,23.64
OPP-1292-18,Ruchita Patil,28.64
OPP-3350-62,Ruchita Patil,22.41
OPP-5843-42,Heena Chopra,21.05
OPP-5436-59,Ruchita Patil,40.45
OPP-9927-12,Ruchita Patil,48.08
OPP-5433-96,Ruchita Patil,25.06
OPP-1496-47,Heena Chopra,32.63
OPP-8660-19,Belal Farooqui,20.19
OPP-5577-06,Ruchita Patil,49.22
OPP-5292-03,Ruchita Patil,47.31
OPP-6377-87,Ruchita Patil,37.47
OPP-2934-01,Belal Farooqui,38.28
OPP-8001-78,Belal Farooqui,41.96
OPP-9842-11,Belal Farooqui,21.34
OPP-0950-19,Jaswinder Singh,35.88
OPP-0106-39,Belal Farooqui,24.64
OPP-4043-54,Belal Farooqui,44.86
OPP-8885-44,Belal Farooqui,23.55
OPP-7119-60,Ruchita Patil,46.85
OPP-9209-19,Belal Farooqui,33.71
OPP-3108-91,Ruchita Patil,43.62
OPP-3099-97,Ruchita Patil,41.66
OPP-8215-88,Belal Farooqui,37.86
OPP-5965-46,Ruchita Patil,35.11
OPP-4698-42,Belal Farooqui,45.45
OPP-1596-31,Belal Farooqui,47.24
OPP-8481-02,Heena Chopra,20.53
OPP-4475-52,Jaswinder Singh,38.28
OPP-6524-74,Ruchita Patil,31.77
OPP-9614-83,Ruchita Patil,27.91
OPP-1734-84,Belal Farooqui,20.09
OPP-9899-54,Jaswinder Singh,27.58
OPP-7261-15,Ruchita Patil,44.3
OPP-2290-12,Ruchita Patil,45.95
OPP-0804-51,Ruchita Patil,36.7
OPP-2647-84,Ruchita Patil,20.53
OPP-4869-18,Ruchita Patil,47.25
OPP-1788-46,Ruchita Patil,35.77
OPP-8599-41,Ruchita Patil,42.54
OPP-9359-98,Belal Farooqui,30.07
OPP-0576-55,Heena Chopra,29.22
OPP-6885-28,Ruchita Patil,36.64
OPP-4517-23,Ruchita Patil,23.19
OPP-0435-84,Belal Farooqui,27.2
OPP-2575-12,Ruchita Patil,44.37
OPP-9716-28,Jaswinder Singh,25.52
OPP-9779-03,Ruchita Patil,30.07
OPP-8679-96,Ruchita Patil,45.88
OPP-7509-47,Ruchita Patil,29.96
OPP-0938-83,Ruchita Patil,24.6
OPP-5996-39,Ruchita Patil,27.21
OPP-1761-95,Ruchita Patil,31.13
OPP-7770-10,Belal Farooqui,35.04
OPP-0663-80,Jaswinder Singh,25.64
OPP-3425-12,Belal Farooqui,27.18
OPP-2301-73,Belal Farooqui,39.19
OPP-0687-27,Ruchita Patil,24.24
OPP-2201-93,Heena Chopra,44.5
OPP-0786-32,Belal Farooqui,34.89
OPP-6689-15,Belal Farooqui,42.02
OPP-6074-93,Heena Chopra,43.64
OPP-5555-73,Ruchita Patil,20.22
OPP-6903-27,Jaswinder Singh,37.85
OPP-0812-73,Ruchita Patil,43.33
OPP-2263-36,Ruchita Patil,28.76
OPP-5214-31,Ruchita Patil,35.03
OPP-9138-48,Ruchita Patil,41.77
OPP-4994-82,Heena Chopra,44.05
OPP-5490-75,Ruchita Patil,31.33
OPP-0604-87,Ruchita Patil,24.5
OPP-4064-70,Belal Farooqui,40.5
OPP-8202-75,Belal Farooqui,34.42
OPP-9991-75,Ruchita Patil,47.44
OPP-6666-58,Ruchita Patil,45.91
OPP-8537-69,Heena Chopra,40.18
OPP-1588-27,Jaswinder Singh,35.2
OPP-6480-21,Ruchita Patil,35.56
OPP-3109-26,Belal Farooqui,43.9
OPP-3155-29,Jaswinder Singh,48.01
OPP-3578-62,Ruchita Patil,31.37
OPP-1618-10,Ruchita Patil,36.3
OPP-8775-95,Heena Chopra,42.0
OPP-2456-16,Ruchita Patil,45.58
OPP-1973-64,Belal Farooqui,28.21
OPP-2844-40,Ruchita Patil,44.14
OPP-8729-74,Heena Chopra,48.33
OPP-7789-65,Ruchita Patil,24.03
OPP-1953-53,Belal Farooqui,48.91
OPP-4106-89,Ruchita Patil,44.81
OPP-0504-79,Belal Farooqui,22.29
OPP-5530-72,Heena Chopra,25.25
OPP-0940-35,Ruchita Patil,31.08
OPP-2042-65,Ruchita Patil,47.64
OPP-8101-50,Heena Chopra,32.05
OPP-0884-05,Belal Farooqui,38.33
OPP-4737-97,Belal Farooqui,23.37
OPP-7314-91,Ruchita Patil,48.24
OPP-0214-74,Ruchita Patil,31.07
OPP-8554-88,Ruchita Patil,25.14
OPP-1695-47,Ruchita Patil,30.11
OPP-9360-57,Jaswinder Singh,21.91
OPP-9599-42,Ruchita Patil,44.36
OPP-4709-55,Ruchita Patil,42.33
OPP-3314-52,Ruchita Patil,38.68
OPP-5661-03,Ruchita Patil,49.54
OPP-9654-16,Ruchita Patil,37.71
OPP-1740-11,Ruchita Patil,42.84
OPP-0444-24,Ruchita Patil,39.03
OPP-1024-06,Ruchita Patil,35.26
OPP-7849-15,Ruchita Patil,35.05
OPP-6473-64,Ruchita Patil,33.07
OPP-0103-10,Belal Farooqui,25.39
OPP-3011-06,Belal Farooqui,46.32
OPP-4898-74,Ruchita Patil,37.19
OPP-6637-31,Ruchita Patil,24.02
OPP-6797-38,Heena Chopra,29.51
OPP-0211-05,Jaswinder Singh,35.54
OPP-4567-05,Belal Farooqui,20.22
OPP-8350-46,Ruchita Patil,28.17
OPP-1708-01,Ruchita Patil,47.92
OPP-7975-12,Jaswinder Singh,22.58
OPP-7520-28,Ruchita Patil,45.7
OPP-2221-88,Belal Farooqui,24.92
OPP-4087-09,Ruchita Patil,21.6
OPP-0168-01,Ruchita Patil,46.91
OPP-7563-06,Ruchita Patil,48.5
OPP-5426-28,Belal Farooqui,47.87
OPP-5437-45,Jaswinder Singh,29.54
OPP-9191-06,Jaswinder Singh,23.91
OPP-6889-30,Ruchita Patil,33.18
OPP-2511-43,Ruchita Patil,33.97
OPP-9826-04,Ruchita Patil,37.63
OPP-7952-85,Ruchita Patil,32.52
OPP-2851-35,Ruchita Patil,32.93
OPP-8826-77,Heena Chopra,21.37
OPP-3145-16,Belal Farooqui,34.29
OPP-8043-55,Jaswinder Singh,40.39
OPP-9108-87,Ruchita Patil,49.84
OPP-3609-14,Ruchita Patil,41.19
OPP-7006-49,Ruchita Patil,30.35
OPP-2333-80,Ruchita Patil,29.82
OPP-8552-25,Belal Farooqui,41.64
OPP-8033-66,Heena Chopra,49.6
OPP-8736-50,Belal Farooqui,47.14
OPP-9739-78,Ruchita Patil,45.03
OPP-5234-51,Ruchita Patil,48.04
OPP-2220-60,Ruchita Patil,49.29
OPP-9151-36,Ruchita Patil,38.78
OPP-5862-20,Ruchita Patil,37.66
OPP-2264-96,Jaswinder Singh,27.09
OPP-8990-74,Ruchita Patil,41.11
OPP-7247-35,Heena Chopra,27.95
OPP-1208-17,Ruchita Patil,46.36
OPP-8732-39,Belal Farooqui,28.3
OPP-8055-06,Ruchita Patil,44.34
OPP-1150-29,Ruchita Patil,30.35
OPP-4389-86,Belal Farooqui,33.38
OPP-7807-11,Ruchita Patil,30.69
OPP-7647-86,Ruchita Patil,35.74
OPP-1446-47,Belal Farooqui,32.29
OPP-6144-57,Ruchita Patil,29.38
OPP-1661-11,Ruchita Patil,40.47
OPP-2854-89,Heena Chopra,43.09
OPP-6920-63,Belal Farooqui,27.93
OPP-8061-29,Ruchita Patil,21.39
OPP-3482-88,Ruchita Patil,26.37
OPP-5660-33,Belal Farooqui,38.76
OPP-5596-22,Jaswinder Singh,20.36
OPP-8459-41,Jaswinder Singh,39.42
OPP-9768-99,Ruchita Patil,29.45
OPP-6454-37,Heena Chopra,32.89
OPP-5336-27,Ruchita Patil,23.06
OPP-8702-48,Heena Chopra,49.01
OPP-8814-41,Ruchita Patil,47.35
OPP-4028-95,Ruchita Patil,22.89
OPP-6583-04,Heena Chopra,35.45
OPP-9153-90,Belal Farooqui,42.14
OPP-2419-67,Ruchita Patil,29.74
OPP-9645-87,Belal Farooqui,41.99
OPP-6632-13,Jaswinder Singh,33.34
OPP-9393-45,Ruchita Patil,32.19
OPP-1370-39,Belal Farooqui,22.44
OPP-3992-73,Jaswinder Singh,49.17
OPP-5590-32,Ruchita Patil,46.47
OPP-6683-88,Belal Farooqui,48.69
OPP-1529-09,Belal Farooqui,27.12
OPP-8879-61,Ruchita Patil,43.19
OPP-2673-08,Belal Farooqui,44.95
OPP-7345-82,Belal Farooqui,30.4
OPP-1653-39,Ruchita Patil,36.72
OPP-1443-83,Heena Chopra,32.87
OPP-0814-19,Heena Chopra,29.74
OPP-7113-55,Ruchita Patil,32.09
OPP-2851-58,Belal Farooqui,42.41
OPP-1477-56,Ruchita Patil,24.89
OPP-4834-94,Ruchita Patil,33.2
OPP-2714-96,Ruchita Patil,45.04
OPP-9656-58,Ruchita Patil,21.87
OPP-2006-92,Jaswinder Singh,45.43
OPP-7737-93,Ruchita Patil,25.39
OPP-5440-05,Heena Chopra,47.1
OPP-8377-03,Jaswinder Singh,34.74
OPP-7590-87,Ruchita Patil,24.3
OPP-4980-08,Ruchita Patil,41.79
OPP-0473-76,Ruchita Patil,44.59
OPP-8229-05,Ruchita Patil,33.28
OPP-3820-44,Ruchita Patil,41.32
OPP-8721-76,Ruchita Patil,28.3
OPP-2113-49,Belal Farooqui,48.68
OPP-0778-43,Ruchita Patil,25.29
OPP-1489-45,Belal Farooqui,40.21
OPP-3869-63,Ruchita Patil,39.41
OPP-3406-77,Ruchita Patil,40.94
OPP-7613-68,Belal Farooqui,48.54
OPP-4552-68,Heena Chopra,30.76
OPP-7117-44,Heena Chopra,39.3
OPP-9099-98,Ruchita Patil,49.79
OPP-1248-30,Ruchita Patil,26.87
OPP-8794-18,Ruchita Patil,33.84
OPP-9861-23,Jaswinder Singh,31.23
OPP-3542-10,Ruchita Patil,29.41
OPP-5923-21,Ruchita Patil,36.24
OPP-4352-47,Ruchita Patil,49.51
OPP-2505-28,Ruchita Patil,37.77
OPP-8416-30,Ruchita Patil,23.53
OPP-9792-50,Jaswinder Singh,35.4
OPP-3187-73,Ruchita Patil,40.29
OPP-6623-43,Belal Farooqui,36.35
OPP-4713-49,Ruchita Patil,22.02
OPP-6142-13,Ruchita Patil,39.97
OPP-2847-45,Ruchita Patil,25.04
OPP-4378-44,Jaswinder Singh,44.91
OPP-7149-37,Belal Farooqui,25.8
OPP-5809-58,Ruchita Patil,20.45
OPP-3589-75,Heena Chopra,23.05
OPP-7834-16,Ruchita Patil,32.71
OPP-2866-91,Ruchita Patil,40.01
OPP-0759-67,Jaswinder Singh,38.74
OPP-3972-44,Belal Farooqui,22.98
OPP-0923-80,Ruchita Patil,39.71
OPP-9199-39,Ruchita Patil,40.94
OPP-3244-31,Belal Farooqui,38.24
OPP-5427-09,Ruchita Patil,24.48
OPP-7984-29,Heena Chopra,45.07
OPP-0985-27,Jaswinder Singh,39.66
OPP-5643-90,Heena Chopra,45.6
OPP-2171-44,Ruchita Patil,43.7
OPP-0034-84,Ruchita Patil,45.12
OPP-7049-89,Heena Chopra,29.05
OPP-9286-61,Ruchita Patil,43.7
OPP-8934-41,Jaswinder Singh,43.1
OPP-2659-17,Belal Farooqui,32.27
OPP-8063-29,Belal Farooqui,39.21
OPP-6482-09,Belal Farooqui,25.9
OPP-3119-92,Jaswinder Singh,30.02
OPP-1314-63,Belal Farooqui,49.56
OPP-9665-30,Jaswinder Singh,23.06
OPP-9079-31,Belal Farooqui,36.68
OPP-8838-98,Belal Farooqui,36.62
OPP-9240-47,Ruchita Patil,49.99
OPP-9925-92,Heena Chopra,28.59
OPP-9058-04,Ruchita Patil,42.52
OPP-2340-01,Ruchita Patil,34.14
OPP-1968-58,Heena Chopra,42.58
OPP-2594-73,Ruchita Patil,21.24
OPP-4619-34,Belal Farooqui,46.87
OPP-4570-09,Ruchita Patil,21.26
OPP-3229-73,Heena Chopra,37.42
OPP-0312-54,Ruchita Patil,47.87
OPP-8614-45,Heena Chopra,33.24
OPP-3908-10,Belal Farooqui,33.57
OPP-3840-26,Ruchita Patil,32.09
OPP-1039-22,Ruchita Patil,47.22
OPP-2230-11,Ruchita Patil,44.03
OPP-3999-70,Jaswinder Singh,23.83
OPP-3791-30,Belal Farooqui,24.61
OPP-9996-13,Belal Farooqui,38.02
OPP-5976-16,Belal Farooqui,49.06
OPP-9794-34,Belal Farooqui,26.68
OPP-2256-13,Belal Farooqui,29.86
OPP-8251-36,Ruchita Patil,31.8
OPP-2303-31,Ruchita Patil,40.38
OPP-7444-88,Heena Chopra,33.11
OPP-4831-65,Belal Farooqui,24.43
OPP-5241-08,Belal Farooqui,23.49
OPP-6193-54,Belal Farooqui,45.38
OPP-0190-60,Belal Farooqui,39.16
OPP-1038-92,Jaswinder Singh,47.03
OPP-0606-81,Ruchita Patil,45.59
OPP-9847-58,Ruchita Patil,35.75
OPP-3037-78,Heena Chopra,36.93
OPP-0777-90,Heena Chopra,46.38
OPP-1450-57,Ruchita Patil,42.07
OPP-2194-95,Heena Chopra,27.12
OPP-9340-65,Heena Chopra,47.74
OPP-3081-37,Ruchita Patil,26.17
OPP-8840-73,Ruchita Patil,36.9
OPP-9379-81,Jaswinder Singh,29.13
OPP-7439-30,Ruchita Patil,26.56
OPP-7746-69,Belal Farooqui,38.97
OPP-2608-22,Ruchita Patil,38.44
OPP-5347-59,Heena Chopra,24.39
OPP-7841-71,Jaswinder Singh,40.04
OPP-8231-97,Ruchita Patil,48.71
OPP-2580-46,Belal Farooqui,39.39
OPP-2278-46,Jaswinder Singh,47.48
OPP-5239-05,Ruchita Patil,41.71
OPP-2968-81,Heena Chopra,30.91
OPP-4196-37,Ruchita Patil,44.83
OPP-7334-06,Jaswinder Singh,42.08
OPP-8680-76,Jaswinder Singh,47.22
OPP-0444-31,Ruchita Patil,46.97
OPP-6416-26,Ruchita Patil,48.51
OPP-8340-40,Ruchita Patil,23.95
OPP-2191-01,Ruchita Patil,48.88
OPP-5203-44,Belal Farooqui,30.57
OPP-2610-03,Ruchita Patil,29.57
OPP-0787-55,Belal Farooqui,45.71
OPP-1086-29,Heena Chopra,39.79
OPP-4626-16,Ruchita Patil,29.46
OPP-3599-65,Ruchita Patil,34.58
OPP-1099-94,Jaswinder Singh,29.56
OPP-4069-02,Jaswinder Singh,40.77
OPP-2306-73,Ruchita Patil,20.9
OPP-3546-47,Belal Farooqui,42.33
OPP-6806-38,Ruchita Patil,45.53
OPP-7845-44,Belal Farooqui,27.48
OPP-3914-54,Ruchita Patil,27.61
OPP-7316-69,Ruchita Patil,49.76
OPP-3823-02,Ruchita Patil,31.73
OPP-7196-92,Heena Chopra,20.84
OPP-8526-88,Ruchita Patil,29.74
OPP-6126-03,Ruchita Patil,35.53
OPP-1743-51,Ruchita Patil,37.54
OPP-0177-26,Ruchita Patil,31.12
OPP-4816-15,Ruchita Patil,45.84
OPP-2685-63,Belal Farooqui,26.11
OPP-5283-63,Ruchita Patil,42.36
OPP-9587-72,Ruchita Patil,45.9
OPP-2011-08,Ruchita Patil,44.02
OPP-9017-29,Ruchita Patil,23.9
OPP-9379-19,Belal Farooqui,23.41
OPP-4090-53,Ruchita Patil,28.87
OPP-9153-61,Heena Chopra,30.52
OPP-7962-63,Jaswinder Singh,32.0
OPP-0512-98,Belal Farooqui,23.75
OPP-6471-82,Ruchita Patil,27.07
OPP-6933-26,Belal Farooqui,29.82
OPP-6456-35,Belal Farooqui,44.29
OPP-6861-06,Heena Chopra,42.98
OPP-9473-61,Ruchita Patil,44.08
OPP-5899-31,Belal Farooqui,47.58
OPP-1882-47,Heena Chopra,43.45
OPP-2881-48,Ruchita Patil,36.91
OPP-9548-45,Ruchita Patil,37.78
OPP-0931-94,Ruchita Patil,26.17
